title,director,review_id,reviewer_name,review_date,rating
X-Men: Days of Future Past,Benedicta Creebo,1,Cherey Freckleton,1/3/2007,2.1
Firehouse Dog,Eunice Maginot,2,Ashley Oldale,9/13/2004,3.6
"Childhood of Maxim Gorky, The (Detstvo Gorkogo)",Gustavo Hutcheons,3,Curr Nern,10/13/2019,1.9
Glue,Arleen Braime,4,Vina Hawkswood,3/3/2002,3.5
Just Like Me (Igualita a Mi),Morris Baldcock,5,Franciska Outram,1/16/2019,2.9
"Man I Love, The",Abdul Blaschek,6,Forster Pryell,8/4/2003,2.2
Can't Help Singing,Phebe Faulkener,7,Christabel Jackett,4/19/2009,4.4
Jack Ryan: Shadow Recruit,Deeann Lovelady,8,Fons Hurran,8/14/2008,2.5
Dead or Alive: Final,Chiarra Kitlee,9,Michaeline Pilkington,1/6/2001,1.0
"Headless Woman, The (Mujer sin cabeza, La)",Dorene Rushmer,10,Warde Leverett,12/20/2007,2.5
